dataset,pipeline,timestamp,ess_bulk_min,ess_tail_min,r_hat_max,mcse_mean_max,mcse_sd_max,divergences
Dreyer2023,BDCNN,20260524-122032,4266.0,1837.0,1.01,0.001,0.001,0
Dreyer2023,BDCNN,20260524-121137,5350.0,2071.0,1.01,0.0,0.001,0
Dreyer2023,BDCNN,20260524-131929,3893.0,2374.0,1.01,0.001,0.001,0
Dreyer2023,BDCNN,20260524-130214,4746.0,2382.0,1.01,0.001,0.001,0
Dreyer2023,BDCNN,20260524-122932,3472.0,2257.0,1.0,0.001,0.001,0
Dreyer2023,BDCNN,20260524-120305,6339.0,2078.0,1.01,0.0,0.001,0
Dreyer2023,BDCNN,20260524-125439,3661.0,2370.0,1.01,0.001,0.001,0
Dreyer2023,BDCNN,20260524-124602,5199.0,2012.0,1.01,0.0,0.001,0
Dreyer2023,BDCNN,20260524-123739,4427.0,2323.0,1.01,0.001,0.001,0
Dreyer2023,BDCNN,20260524-131052,6299.0,2195.0,1.01,0.0,0.001,0
Forenzo2023,CSPBLDA,20260524-142144,2262.0,2330.0,1.0,0.001,0.001,0
Forenzo2023,CSPBLDA,20260524-141000,1777.0,1873.0,1.0,0.001,0.001,0
Forenzo2023,CSPBLDA,20260524-142744,1331.0,1991.0,1.0,0.001,0.001,0
Forenzo2023,CSPBLDA,20260524-134548,2130.0,2048.0,1.0,0.001,0.001,0
Forenzo2023,CSPBLDA,20260524-135806,2025.0,2123.0,1.0,0.001,0.001,0
Forenzo2023,CSPBLDA,20260524-133336,2223.0,2039.0,1.0,0.001,0.001,0
Forenzo2023,CSPBLDA,20260524-133945,2015.0,2190.0,1.0,0.001,0.001,0
Forenzo2023,CSPBLDA,20260524-140402,2330.0,2026.0,1.0,0.001,0.001,0
Forenzo2023,CSPBLDA,20260524-135154,2428.0,2512.0,1.0,0.001,0.001,0
Forenzo2023,CSPBLDA,20260524-141551,2131.0,2181.0,1.0,0.001,0.001,0
Forenzo2023,CSPGP,20260524-145631,359.0,952.0,1.01,0.039,0.018,0
Forenzo2023,CSPGP,20260524-143940,341.0,359.0,1.02,0.022,0.021,1
Forenzo2023,CSPGP,20260524-145147,549.0,747.0,1.01,0.022,0.02,2
Forenzo2023,CSPGP,20260524-151336,479.0,1077.0,1.01,0.022,0.018,0
Forenzo2023,CSPGP,20260524-150505,484.0,1059.0,1.01,0.035,0.019,0
Forenzo2023,CSPGP,20260524-151724,1327.0,1614.0,1.01,0.013,0.018,0
Forenzo2023,CSPGP,20260524-150854,912.0,1378.0,1.01,0.017,0.023,0
Forenzo2023,CSPGP,20260524-150117,355.0,591.0,1.01,0.032,0.026,0
Forenzo2023,CSPGP,20260524-144803,423.0,632.0,1.01,0.022,0.022,0
Forenzo2023,CSPGP,20260524-144417,565.0,868.0,1.01,0.02,0.018,0
Forenzo2023,TSBLR,20260524-153536,5091.0,2473.0,1.0,0.001,0.001,0
Forenzo2023,TSBLR,20260524-153408,5718.0,2375.0,1.01,0.001,0.001,0
Forenzo2023,TSBLR,20260524-152815,5464.0,2320.0,1.0,0.001,0.002,0
Forenzo2023,TSBLR,20260524-153957,4658.0,2209.0,1.0,0.001,0.001,0
Forenzo2023,TSBLR,20260524-154124,3674.0,2606.0,1.0,0.001,0.001,0
Forenzo2023,TSBLR,20260524-152944,5907.0,2463.0,1.0,0.001,0.001,0
Forenzo2023,TSBLR,20260524-153240,6285.0,2536.0,1.0,0.001,0.001,0
Forenzo2023,TSBLR,20260524-153703,4336.0,2407.0,1.0,0.001,0.001,0
Forenzo2023,TSBLR,20260524-153831,5632.0,2403.0,1.0,0.001,0.001,0
Forenzo2023,TSBLR,20260524-153113,6189.0,2568.0,1.0,0.001,0.001,0
Forenzo2023,TSGP,20260524-155744,1355.0,2430.0,1.0,0.011,0.017,0
Forenzo2023,TSGP,20260524-161657,1310.0,2024.0,1.0,0.011,0.021,0
Forenzo2023,TSGP,20260524-160847,1572.0,2022.0,1.0,0.01,0.02,0
Forenzo2023,TSGP,20260524-161413,1702.0,2411.0,1.0,0.01,0.019,0
Forenzo2023,TSGP,20260524-161132,1402.0,2095.0,1.0,0.011,0.017,0
Forenzo2023,TSGP,20260524-160028,1332.0,2396.0,1.0,0.012,0.021,0
Forenzo2023,TSGP,20260524-155456,1562.0,2310.0,1.01,0.011,0.021,0
Forenzo2023,TSGP,20260524-160319,1456.0,2225.0,1.01,0.011,0.021,0
Forenzo2023,TSGP,20260524-160604,1504.0,2343.0,1.0,0.01,0.02,0
Forenzo2023,TSGP,20260524-155210,1779.0,2437.0,1.0,0.01,0.019,0
Forenzo2023,BSCNN,20260524-164919,5339.0,2016.0,1.01,0.0,0.001,0
Forenzo2023,BSCNN,20260524-163357,7279.0,1900.0,1.01,0.0,0.001,0
Forenzo2023,BSCNN,20260524-170438,7388.0,1442.0,1.01,0.0,0.001,0
Forenzo2023,BSCNN,20260524-170830,5737.0,1895.0,1.01,0.0,0.001,0
Forenzo2023,BSCNN,20260524-165700,5283.0,1916.0,1.01,0.0,0.001,0
Forenzo2023,BSCNN,20260524-163749,5288.0,1952.0,1.01,0.0,0.001,0
Forenzo2023,BSCNN,20260524-164525,5926.0,1922.0,1.01,0.0,0.001,0
Forenzo2023,BSCNN,20260524-165304,7436.0,1945.0,1.01,0.0,0.001,0
Forenzo2023,BSCNN,20260524-170047,7251.0,1657.0,1.01,0.0,0.001,0
Forenzo2023,BSCNN,20260524-164140,4841.0,2035.0,1.01,0.0,0.001,0
Forenzo2023,BDCNN,20260524-174211,5296.0,2275.0,1.01,0.001,0.001,0
Forenzo2023,BDCNN,20260524-175257,6100.0,2326.0,1.01,0.001,0.002,0
Forenzo2023,BDCNN,20260524-173640,4772.0,2381.0,1.01,0.001,0.001,0
Forenzo2023,BDCNN,20260524-173352,6374.0,2054.0,1.01,0.001,0.002,0
Forenzo2023,BDCNN,20260524-173109,5796.0,2125.0,1.01,0.001,0.001,0
Forenzo2023,BDCNN,20260524-175015,4522.0,2218.0,1.01,0.001,0.002,0
Forenzo2023,BDCNN,20260524-174736,7560.0,2281.0,1.01,0.001,0.002,0
Forenzo2023,BDCNN,20260524-174454,4840.0,2452.0,1.01,0.001,0.001,0
Forenzo2023,BDCNN,20260524-173926,6053.0,2318.0,1.0,0.001,0.002,0
Forenzo2023,BDCNN,20260524-172824,5005.0,2364.0,1.01,0.001,0.001,0
GrosseWentrup2009,CSPBLDA,20260524-183639,1270.0,2233.0,1.0,0.001,0.001,0
GrosseWentrup2009,CSPBLDA,20260524-180400,1424.0,2128.0,1.0,0.002,0.001,0
GrosseWentrup2009,CSPBLDA,20260524-175921,1679.0,2307.0,1.0,0.001,0.001,0
GrosseWentrup2009,CSPBLDA,20260524-184119,1462.0,1976.0,1.0,0.002,0.001,0
GrosseWentrup2009,CSPBLDA,20260524-181809,2363.0,2505.0,1.01,0.001,0.001,0
GrosseWentrup2009,CSPBLDA,20260524-180844,1853.0,2372.0,1.0,0.001,0.001,0
GrosseWentrup2009,CSPBLDA,20260524-181322,1675.0,2175.0,1.0,0.001,0.001,0
GrosseWentrup2009,CSPBLDA,20260524-183152,1981.0,2641.0,1.0,0.001,0.001,0
GrosseWentrup2009,CSPBLDA,20260524-182241,2391.0,2507.0,1.0,0.001,0.001,0
GrosseWentrup2009,CSPBLDA,20260524-182717,1870.0,2142.0,1.0,0.001,0.001,0
GrosseWentrup2009,CSPGP,20260524-190939,1533.0,2298.0,1.0,0.01,0.017,0
GrosseWentrup2009,CSPGP,20260524-184944,936.0,1553.0,1.0,0.013,0.014,0
GrosseWentrup2009,CSPGP,20260524-192447,1286.0,1742.0,1.0,0.013,0.016,0
GrosseWentrup2009,CSPGP,20260524-190436,1328.0,2266.0,1.0,0.011,0.017,0
GrosseWentrup2009,CSPGP,20260524-191945,1598.0,2438.0,1.0,0.011,0.017,0
GrosseWentrup2009,CSPGP,20260524-185941,1586.0,1930.0,1.01,0.011,0.017,0
GrosseWentrup2009,CSPGP,20260524-193026,902.0,1747.0,1.01,0.014,0.016,0
GrosseWentrup2009,CSPGP,20260524-191436,939.0,1898.0,1.0,0.013,0.015,0
GrosseWentrup2009,CSPGP,20260524-193516,1536.0,2252.0,1.0,0.013,0.015,0
GrosseWentrup2009,CSPGP,20260524-185427,1065.0,1794.0,1.0,0.014,0.016,0
GrosseWentrup2009,TSBLR,20260524-195630,7131.0,1924.0,1.01,0.0,0.001,0
GrosseWentrup2009,TSBLR,20260524-194752,8162.0,2221.0,1.01,0.0,0.001,0
GrosseWentrup2009,TSBLR,20260524-195757,7395.0,2071.0,1.01,0.0,0.001,0
GrosseWentrup2009,TSBLR,20260524-194501,7606.0,2041.0,1.01,0.0,0.001,0
GrosseWentrup2009,TSBLR,20260524-194626,7900.0,1847.0,1.01,0.0,0.001,0
GrosseWentrup2009,TSBLR,20260524-194918,8142.0,2083.0,1.01,0.0,0.001,0
GrosseWentrup2009,TSBLR,20260524-195336,8202.0,2031.0,1.01,0.0,0.001,0
GrosseWentrup2009,TSBLR,20260524-195210,7876.0,1749.0,1.01,0.0,0.001,0
GrosseWentrup2009,TSBLR,20260524-195502,7853.0,2250.0,1.01,0.0,0.001,0
GrosseWentrup2009,TSBLR,20260524-195045,7727.0,2165.0,1.01,0.0,0.001,0
GrosseWentrup2009,TSGP,20260524-202136,848.0,1424.0,1.01,0.013,0.017,0
GrosseWentrup2009,TSGP,20260524-203151,1033.0,1978.0,1.0,0.012,0.017,0
GrosseWentrup2009,TSGP,20260524-203424,1455.0,2245.0,1.0,0.01,0.021,0
GrosseWentrup2009,TSGP,20260524-201903,943.0,1716.0,1.0,0.012,0.016,0
GrosseWentrup2009,TSGP,20260524-202917,1349.0,2299.0,1.0,0.011,0.019,0
GrosseWentrup2009,TSGP,20260524-203650,1045.0,2001.0,1.0,0.012,0.019,0
GrosseWentrup2009,TSGP,20260524-201634,1392.0,1928.0,1.0,0.01,0.02,0
GrosseWentrup2009,TSGP,20260524-203923,1224.0,1933.0,1.01,0.011,0.021,0
GrosseWentrup2009,TSGP,20260524-202646,1039.0,1759.0,1.0,0.012,0.018,0
GrosseWentrup2009,TSGP,20260524-202409,1006.0,1795.0,1.0,0.012,0.017,0
GrosseWentrup2009,BSCNN,20260524-211952,4411.0,2071.0,1.01,0.001,0.001,0
GrosseWentrup2009,BSCNN,20260524-210643,4225.0,2114.0,1.01,0.001,0.001,0
GrosseWentrup2009,BSCNN,20260524-213754,4496.0,2068.0,1.01,0.001,0.001,0
GrosseWentrup2009,BSCNN,20260524-211519,4196.0,2156.0,1.01,0.001,0.001,0
GrosseWentrup2009,BSCNN,20260524-210210,3922.0,2093.0,1.01,0.001,0.001,0
GrosseWentrup2009,BSCNN,20260524-212423,4887.0,2093.0,1.01,0.0,0.001,0
GrosseWentrup2009,BSCNN,20260524-205738,4684.0,2057.0,1.01,0.001,0.001,0
GrosseWentrup2009,BSCNN,20260524-211052,4156.0,2171.0,1.01,0.001,0.001,0
GrosseWentrup2009,BSCNN,20260524-213324,4039.0,2152.0,1.01,0.001,0.001,0
GrosseWentrup2009,BSCNN,20260524-212852,4733.0,1932.0,1.01,0.0,0.001,0
GrosseWentrup2009,BDCNN,20260524-215824,4345.0,2209.0,1.01,0.001,0.001,0
GrosseWentrup2009,BDCNN,20260524-221935,4014.0,2129.0,1.01,0.001,0.001,0
GrosseWentrup2009,BDCNN,20260524-220120,6868.0,1988.0,1.01,0.001,0.001,0
GrosseWentrup2009,BDCNN,20260524-221323,4086.0,2224.0,1.01,0.001,0.001,0
GrosseWentrup2009,BDCNN,20260524-222231,7188.0,2064.0,1.01,0.001,0.001,0
GrosseWentrup2009,BDCNN,20260524-220716,5201.0,1962.0,1.01,0.001,0.001,0
GrosseWentrup2009,BDCNN,20260524-221028,3764.0,2131.0,1.01,0.001,0.001,0
GrosseWentrup2009,BDCNN,20260524-220416,5322.0,2157.0,1.01,0.001,0.001,0
GrosseWentrup2009,BDCNN,20260524-215527,6829.0,2023.0,1.01,0.001,0.001,0
GrosseWentrup2009,BDCNN,20260524-221622,4409.0,2132.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,CSPBLDA,20260524-231309,4071.0,2553.0,1.0,0.001,0.001,0
GuttmannFlury2025_MI,CSPBLDA,20260524-230841,3528.0,2696.0,1.0,0.001,0.001,0
GuttmannFlury2025_MI,CSPBLDA,20260524-223323,3192.0,2563.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,CSPBLDA,20260524-225057,3048.0,2322.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,CSPBLDA,20260524-224631,3078.0,2642.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,CSPBLDA,20260524-230414,2566.0,2412.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,CSPBLDA,20260524-224208,3432.0,2422.0,1.0,0.001,0.001,0
GuttmannFlury2025_MI,CSPBLDA,20260524-225947,3655.0,2371.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,CSPBLDA,20260524-223747,3559.0,2453.0,1.0,0.001,0.001,0
GuttmannFlury2025_MI,CSPBLDA,20260524-225522,3275.0,2697.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,CSPGP,20260524-234820,1543.0,1905.0,1.0,0.014,0.021,0
GuttmannFlury2025_MI,CSPGP,20260524-235614,2349.0,2103.0,1.01,0.014,0.022,0
GuttmannFlury2025_MI,CSPGP,20260524-233856,1868.0,1759.0,1.01,0.014,0.021,0
GuttmannFlury2025_MI,CSPGP,20260524-232854,1873.0,2105.0,1.01,0.013,0.023,0
GuttmannFlury2025_MI,CSPGP,20260524-234524,1901.0,1364.0,1.0,0.014,0.021,0
GuttmannFlury2025_MI,CSPGP,20260524-234202,1321.0,1773.0,1.01,0.014,0.02,0
GuttmannFlury2025_MI,CSPGP,20260524-235129,1003.0,1627.0,1.0,0.022,0.019,0
GuttmannFlury2025_MI,CSPGP,20260524-233533,1607.0,2174.0,1.01,0.014,0.021,0
GuttmannFlury2025_MI,CSPGP,20260524-232537,1654.0,2365.0,1.01,0.014,0.023,0
GuttmannFlury2025_MI,CSPGP,20260524-233213,1874.0,1907.0,1.01,0.014,0.022,0
GuttmannFlury2025_MI,TSBLR,20260525-001122,7359.0,2145.0,1.0,0.001,0.001,0
GuttmannFlury2025_MI,TSBLR,20260525-000936,5809.0,2360.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,TSBLR,20260525-001306,7822.0,2166.0,1.0,0.001,0.001,0
GuttmannFlury2025_MI,TSBLR,20260525-002340,8071.0,2222.0,1.0,0.001,0.001,0
GuttmannFlury2025_MI,TSBLR,20260525-002009,7478.0,2179.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,TSBLR,20260525-001823,7625.0,2176.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,TSBLR,20260525-000751,7608.0,2180.0,1.0,0.001,0.001,0
GuttmannFlury2025_MI,TSBLR,20260525-001638,6762.0,2476.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,TSBLR,20260525-001453,7654.0,2222.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,TSBLR,20260525-002155,8192.0,2288.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,TSGP,20260525-010000,2462.0,1435.0,1.01,0.014,0.021,0
GuttmannFlury2025_MI,TSGP,20260525-004919,2142.0,1862.0,1.01,0.014,0.021,0
GuttmannFlury2025_MI,TSGP,20260525-005718,2309.0,2006.0,1.01,0.013,0.022,0
GuttmannFlury2025_MI,TSGP,20260525-003818,2457.0,1552.0,1.01,0.014,0.02,0
GuttmannFlury2025_MI,TSGP,20260525-004058,2703.0,2181.0,1.01,0.016,0.02,0
GuttmannFlury2025_MI,TSGP,20260525-005158,2755.0,2189.0,1.0,0.015,0.021,0
GuttmannFlury2025_MI,TSGP,20260525-005439,2006.0,1704.0,1.01,0.015,0.022,0
GuttmannFlury2025_MI,TSGP,20260525-004337,2116.0,1880.0,1.01,0.015,0.019,0
GuttmannFlury2025_MI,TSGP,20260525-004645,2820.0,2103.0,1.01,0.013,0.022,0
GuttmannFlury2025_MI,TSGP,20260525-003540,2151.0,1774.0,1.0,0.014,0.02,0
GuttmannFlury2025_MI,BSCNN,20260525-013252,5736.0,2062.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BSCNN,20260525-012129,5876.0,1871.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BSCNN,20260525-011738,5635.0,2101.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BSCNN,20260525-015147,5607.0,1893.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BSCNN,20260525-014415,5475.0,2101.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BSCNN,20260525-012905,5618.0,1872.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BSCNN,20260525-014802,5297.0,1981.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BSCNN,20260525-012513,5283.0,2204.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BSCNN,20260525-014028,5289.0,2122.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BSCNN,20260525-013641,5969.0,2163.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BDCNN,20260525-022626,7185.0,2038.0,1.01,0.001,0.002,0
GuttmannFlury2025_MI,BDCNN,20260525-021325,7476.0,2208.0,1.01,0.001,0.002,0
GuttmannFlury2025_MI,BDCNN,20260525-023410,6297.0,2107.0,1.01,0.001,0.002,0
GuttmannFlury2025_MI,BDCNN,20260525-022354,5209.0,2131.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BDCNN,20260525-021604,7374.0,2278.0,1.01,0.001,0.002,0
GuttmannFlury2025_MI,BDCNN,20260525-021841,6268.0,2200.0,1.01,0.001,0.002,0
GuttmannFlury2025_MI,BDCNN,20260525-022902,4085.0,2511.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BDCNN,20260525-021049,6217.0,2116.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BDCNN,20260525-022116,3913.0,2344.0,1.01,0.001,0.001,0
GuttmannFlury2025_MI,BDCNN,20260525-023135,3912.0,2460.0,1.01,0.001,0.001,0
HefmiIch2025,CSPBLDA,20260525-033437,2024.0,2426.0,1.0,0.001,0.001,0
HefmiIch2025,CSPBLDA,20260525-032347,2700.0,2589.0,1.0,0.001,0.001,0
HefmiIch2025,CSPBLDA,20260525-031810,1758.0,2236.0,1.0,0.001,0.001,0
HefmiIch2025,CSPBLDA,20260525-032915,1621.0,2099.0,1.0,0.002,0.001,0
HefmiIch2025,CSPBLDA,20260525-030704,2034.0,2509.0,1.0,0.001,0.001,0
HefmiIch2025,CSPBLDA,20260525-024919,1650.0,2236.0,1.0,0.002,0.001,0
HefmiIch2025,CSPBLDA,20260525-025516,1860.0,2306.0,1.0,0.002,0.001,0
HefmiIch2025,CSPBLDA,20260525-030113,1758.0,2644.0,1.0,0.001,0.001,0
HefmiIch2025,CSPBLDA,20260525-031242,2569.0,2522.0,1.0,0.001,0.001,0
HefmiIch2025,CSPBLDA,20260525-033957,1850.0,2290.0,1.0,0.001,0.001,0
HefmiIch2025,CSPGP,20260525-043007,1279.0,1359.0,1.01,0.016,0.019,0
HefmiIch2025,CSPGP,20260525-042649,1579.0,1601.0,1.01,0.014,0.02,0
HefmiIch2025,CSPGP,20260525-041433,1703.0,2036.0,1.01,0.014,0.022,0
HefmiIch2025,CSPGP,20260525-040603,1175.0,2025.0,1.01,0.018,0.029,2
HefmiIch2025,CSPGP,20260525-041834,1602.0,1899.0,1.01,0.014,0.024,0
HefmiIch2025,CSPGP,20260525-042233,642.0,1351.0,1.01,0.029,0.021,0
HefmiIch2025,CSPGP,20260525-040150,1797.0,2094.0,1.0,0.014,0.02,0
HefmiIch2025,CSPGP,20260525-041028,907.0,2070.0,1.01,0.016,0.021,0
HefmiIch2025,CSPGP,20260525-043330,2194.0,1822.0,1.0,0.015,0.024,0
HefmiIch2025,CSPGP,20260525-035751,1208.0,1791.0,1.0,0.018,0.02,0
HefmiIch2025,TSBLR,20260525-044926,4696.0,2469.0,1.0,0.001,0.002,0
HefmiIch2025,TSBLR,20260525-050522,4572.0,2512.0,1.0,0.001,0.002,0
HefmiIch2025,TSBLR,20260525-045644,5035.0,2627.0,1.0,0.001,0.002,0
HefmiIch2025,TSBLR,20260525-045418,5316.0,2668.0,1.0,0.001,0.002,0
HefmiIch2025,TSBLR,20260525-045854,4839.0,2577.0,1.01,0.001,0.002,0
HefmiIch2025,TSBLR,20260525-050102,4908.0,2697.0,1.0,0.001,0.002,0
HefmiIch2025,TSBLR,20260525-050714,5122.0,2563.0,1.01,0.001,0.002,0
HefmiIch2025,TSBLR,20260525-050907,5220.0,2540.0,1.0,0.001,0.002,0
HefmiIch2025,TSBLR,20260525-050311,5495.0,2689.0,1.0,0.001,0.002,0
HefmiIch2025,TSBLR,20260525-045153,4757.0,2567.0,1.01,0.001,0.002,0
HefmiIch2025,TSGP,20260525-053250,180.0,552.0,1.02,0.068,0.022,0
HefmiIch2025,TSGP,20260525-055854,1052.0,933.0,1.01,0.014,0.022,0
HefmiIch2025,TSGP,20260525-052803,160.0,565.0,1.02,0.071,0.032,0
HefmiIch2025,TSGP,20260525-054728,188.0,497.0,1.01,0.057,0.024,0
HefmiIch2025,TSGP,20260525-052344,182.0,777.0,1.02,0.046,0.024,0
HefmiIch2025,TSGP,20260525-054049,1360.0,1593.0,1.01,0.014,0.022,0
HefmiIch2025,TSGP,20260525-055147,341.0,404.0,1.01,0.042,0.022,0
HefmiIch2025,TSGP,20260525-055539,770.0,678.0,1.01,0.018,0.02,0
HefmiIch2025,TSGP,20260525-053729,567.0,253.0,1.0,0.023,0.022,0
HefmiIch2025,TSGP,20260525-054407,1526.0,1723.0,1.01,0.013,0.022,0
HefmiIch2025,BSCNN,20260525-070245,7831.0,1759.0,1.01,0.0,0.001,0
HefmiIch2025,BSCNN,20260525-071216,7863.0,1925.0,1.01,0.0,0.001,0
HefmiIch2025,BSCNN,20260525-065311,7640.0,1906.0,1.01,0.0,0.001,0
HefmiIch2025,BSCNN,20260525-063201,7446.0,1850.0,1.01,0.0,0.001,0
HefmiIch2025,BSCNN,20260525-064234,7613.0,1981.0,1.01,0.0,0.001,0
HefmiIch2025,BSCNN,20260525-073125,7780.0,1763.0,1.01,0.0,0.001,0
HefmiIch2025,BSCNN,20260525-072151,7702.0,1869.0,1.01,0.0,0.001,0
HefmiIch2025,BSCNN,20260525-062129,7518.0,1819.0,1.01,0.0,0.001,0
HefmiIch2025,BSCNN,20260525-073951,7693.0,2013.0,1.01,0.0,0.001,0
HefmiIch2025,BSCNN,20260525-074831,8015.0,1923.0,1.01,0.0,0.001,0
HefmiIch2025,BDCNN,20260525-092358,4585.0,2129.0,1.01,0.0,0.001,0
HefmiIch2025,BDCNN,20260525-082546,5113.0,1986.0,1.01,0.0,0.001,0
HefmiIch2025,BDCNN,20260525-091041,6975.0,1918.0,1.01,0.0,0.001,0
HefmiIch2025,BDCNN,20260525-085611,6011.0,1793.0,1.01,0.0,0.001,0
HefmiIch2025,BDCNN,20260525-091705,6702.0,1946.0,1.01,0.0,0.001,0
HefmiIch2025,BDCNN,20260525-081800,5931.0,1789.0,1.01,0.0,0.001,0
HefmiIch2025,BDCNN,20260525-090320,5776.0,2071.0,1.01,0.0,0.001,0
HefmiIch2025,BDCNN,20260525-083337,6706.0,1876.0,1.01,0.0,0.001,0
HefmiIch2025,BDCNN,20260525-084903,5121.0,1921.0,1.01,0.0,0.001,0
HefmiIch2025,BDCNN,20260525-084152,5066.0,1803.0,1.01,0.0,0.001,0
Kumar2024,CSPBLDA,20260525-111343,3017.0,2480.0,1.01,0.001,0.0,0
Kumar2024,CSPBLDA,20260525-094506,3399.0,2580.0,1.0,0.0,0.0,0
Kumar2024,CSPBLDA,20260525-101517,3553.0,2600.0,1.0,0.0,0.0,0
Kumar2024,CSPBLDA,20260525-110400,2986.0,2474.0,1.0,0.001,0.0,0
Kumar2024,CSPBLDA,20260525-103452,3943.0,2645.0,1.0,0.0,0.0,0
Kumar2024,CSPBLDA,20260525-100456,3652.0,2546.0,1.01,0.0,0.0,0
Kumar2024,CSPBLDA,20260525-104436,3367.0,2687.0,1.01,0.0,0.0,0
Kumar2024,CSPBLDA,20260525-095448,3238.0,2242.0,1.01,0.0,0.0,0
Kumar2024,CSPBLDA,20260525-102506,3537.0,2534.0,1.0,0.0,0.0,0
Kumar2024,CSPBLDA,20260525-105418,3380.0,2670.0,1.0,0.0,0.0,0
Kumar2024,CSPGP,20260525-120602,1322.0,1965.0,1.01,0.014,0.02,0
Kumar2024,CSPGP,20260525-115215,1265.0,1865.0,1.0,0.013,0.019,0
Kumar2024,CSPGP,20260525-121321,1226.0,2225.0,1.01,0.014,0.024,0
Kumar2024,CSPGP,20260525-122037,573.0,911.0,1.0,0.021,0.019,0
Kumar2024,CSPGP,20260525-123412,788.0,1328.0,1.0,0.015,0.023,0
Kumar2024,CSPGP,20260525-122720,1087.0,1876.0,1.0,0.014,0.019,0
Kumar2024,CSPGP,20260525-114629,633.0,764.0,1.01,0.019,0.017,0
Kumar2024,CSPGP,20260525-115922,1154.0,1941.0,1.01,0.013,0.018,0
Kumar2024,CSPGP,20260525-113918,1059.0,1758.0,1.01,0.014,0.019,0
Kumar2024,CSPGP,20260525-124139,1168.0,1901.0,1.0,0.014,0.02,0
Kumar2024,TSBLR,20260525-130807,4180.0,2663.0,1.0,0.001,0.001,0
Kumar2024,TSBLR,20260525-131726,4166.0,2643.0,1.0,0.001,0.001,0
Kumar2024,TSBLR,20260525-132426,3776.0,2636.0,1.0,0.001,0.001,0
Kumar2024,TSBLR,20260525-130547,4055.0,2626.0,1.0,0.001,0.001,0
Kumar2024,TSBLR,20260525-131026,4164.0,2702.0,1.0,0.001,0.001,0
Kumar2024,TSBLR,20260525-131246,3897.0,2524.0,1.0,0.001,0.001,0
Kumar2024,TSBLR,20260525-131506,4063.0,2698.0,1.0,0.001,0.001,0
Kumar2024,TSBLR,20260525-131947,4039.0,2776.0,1.0,0.001,0.001,0
Kumar2024,TSBLR,20260525-132207,4007.0,2616.0,1.0,0.001,0.001,0
Kumar2024,TSBLR,20260525-130327,4552.0,2572.0,1.0,0.001,0.001,0
Kumar2024,TSGP,20260525-141102,877.0,1647.0,1.01,0.012,0.021,0
Kumar2024,TSGP,20260525-140156,983.0,1851.0,1.01,0.011,0.021,0
Kumar2024,TSGP,20260525-141533,735.0,1327.0,1.01,0.014,0.021,0
Kumar2024,TSGP,20260525-135724,985.0,1524.0,1.01,0.012,0.022,0
Kumar2024,TSGP,20260525-142445,1161.0,2029.0,1.0,0.012,0.021,0
Kumar2024,TSGP,20260525-140628,1118.0,1682.0,1.0,0.012,0.022,0
Kumar2024,TSGP,20260525-135332,1088.0,2001.0,1.0,0.012,0.022,0
Kumar2024,TSGP,20260525-134938,886.0,1542.0,1.0,0.013,0.021,0
Kumar2024,TSGP,20260525-134506,878.0,1555.0,1.01,0.011,0.025,0
Kumar2024,TSGP,20260525-142012,908.0,1572.0,1.01,0.011,0.022,0
Kumar2024,BSCNN,20260525-160734,3956.0,2194.0,1.01,0.0,0.001,0
Kumar2024,BSCNN,20260525-145954,5055.0,1966.0,1.01,0.0,0.001,0
Kumar2024,BSCNN,20260525-151457,6352.0,2031.0,1.01,0.0,0.001,0
Kumar2024,BSCNN,20260525-153016,4726.0,2100.0,1.01,0.0,0.001,0
Kumar2024,BSCNN,20260525-155241,5848.0,1954.0,1.01,0.0,0.001,0
Kumar2024,BSCNN,20260525-150721,4489.0,2007.0,1.01,0.0,0.001,0
Kumar2024,BSCNN,20260525-152239,5477.0,1932.0,1.01,0.0,0.001,0
